Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-10 16:00:00,6193,Rennes,Lyon,0,2,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2014-08-16 19:00:00,6197,Rennes,Evian Thonon Gaillard,6,2,10.8750,9.1250,10.0644,9.9356,10.6856,9.3144
2014-08-24 16:00:00,6213,Rennes,Saint-Etienne,0,0,10.8750,10.3750,9.8644,10.6109,10.8856,9.6391
2014-08-30 19:00:00,6219,Rennes,Caen,1,0,11.0938,10.0312,10.0217,9.6573,10.9158,10.4052
2014-09-13 16:00:00,6146,Rennes,Paris Saint Germain,1,1,11.0352,11.4180,9.6609,10.5511,11.1594,10.5349
2014-09-20 16:00:00,6156,Rennes,Marseille,0,3,10.4121,11.6660,9.7577,10.6949,10.5664,10.6373
2014-09-23 20:00:00,6166,Rennes,Toulouse,0,3,9.2419,10.4016,9.3783,10.8815,9.3554,9.4218
2014-09-28 13:00:00,6181,Rennes,Bordeaux,1,2,9.3385,10.0316,9.8610,8.8365,9.3158,9.7268
2014-10-04 19:00:00,6118,Rennes,Lens,2,0,9.7133,8.9629,10.2541,9.3728,9.1723,9.0529
2014-10-18 19:00:00,6127,Rennes,Metz,0,0,9.8547,9.6373,10.4787,9.5616,9.2304,9.4633
2014-10-26 13:00:00,6140,Rennes,Lille,2,0,10.0506,8.9423,10.6197,8.4673,8.9812,9.6672
2014-11-02 13:00:00,6082,Rennes,Nantes,1,1,10.3007,10.3009,10.7405,11.7398,9.3606,8.3619
2014-11-07 19:30:00,6085,Rennes,Lorient,1,0,10.1859,9.4565,10.7601,10.0502,8.8615,10.8630
2014-11-22 19:00:00,6097,Rennes,Guingamp,1,0,10.2879,8.9918,10.6640,11.3840,8.9116,9.8493
2014-11-29 19:00:00,6107,Rennes,Monaco,2,0,10.6337,9.8254,10.6124,10.4687,9.1548,9.1824
2014-12-03 18:00:00,6040,Rennes,Nice,2,1,10.8898,9.9020,10.5632,9.9155,9.4662,11.1382
2014-12-06 19:00:00,6048,Rennes,Montpellier,0,4,9.4483,11.0651,9.4292,10.3323,8.7171,11.0477
2014-12-13 19:00:00,6060,Rennes,SC Bastia,0,2,9.1731,10.1226,9.4563,11.0483,8.6396,10.9471
2014-12-20 19:00:00,6072,Rennes,Reims,1,3,8.7371,10.3651,9.4324,9.8003,8.2915,12.1798
2015-01-10 19:00:00,6001,Rennes,Evian Thonon Gaillard,1,1,9.0486,9.1718,9.9905,9.2942,8.3565,11.5495
2015-01-18 16:00:00,6017,Rennes,Saint-Etienne,0,0,9.5162,10.9515,10.4758,10.6630,8.8065,8.9899
2015-01-25 16:00:00,6026,Rennes,Caen,1,4,8.7415,10.6922,10.3538,8.2961,8.1291,15.0886
2015-01-30 19:30:00,6029,Rennes,Paris Saint Germain,0,1,9.0865,10.2765,10.6026,11.0771,8.8203,4.2260
2015-02-07 15:00:00,5964,Rennes,Marseille,1,1,9.2572,10.0986,10.8198,8.9397,8.9445,6.0082
2015-02-14 19:00:00,5976,Rennes,Toulouse,1,2,9.1334,9.3858,10.8814,11.0512,8.8853,10.2207
2015-02-21 19:00:00,5984,Rennes,Bordeaux,1,1,9.2426,9.9611,10.8186,10.1902,9.1666,9.9817
2015-02-28 19:00:00,5995,Rennes,Lens,1,0,9.5346,8.6186,10.9541,11.4253,9.3651,9.0618
2015-03-07 19:00:00,5935,Rennes,Metz,1,0,9.5321,9.0269,10.6433,12.2589,9.4208,10.5453
2015-03-15 13:00:00,5947,Rennes,Lille,0,3,9.1771,10.9671,10.6784,9.4234,9.4257,11.7612
2015-03-21 19:00:00,5952,Rennes,Nantes,0,0,9.1466,9.5855,10.6301,10.8106,9.4129,10.1103
2015-04-04 19:00:00,5888,Rennes,Lorient,3,0,10.2176,8.8595,10.7591,9.8352,10.6758,10.6341
2015-04-12 16:00:00,5899,Rennes,Guingamp,1,0,10.2042,9.6772,10.6925,11.4135,10.4655,10.4403
