Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-31 19:45:00,5153,Sampdoria,Palermo,1,1,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2014-09-14 11:30:00,5111,Sampdoria,Torino,2,0,10.3750,9.6250,9.8829,10.1171,10.3671,9.6329
2014-09-21 14:00:00,5124,Sampdoria,Sassuolo,0,0,10.0000,8.7500,9.5075,9.6298,9.9925,9.6202
2014-09-24 19:45:00,5137,Sampdoria,Chievo,2,1,10.0781,9.7344,9.7136,9.3256,9.6926,10.3932
2014-09-28 19:45:00,5146,Sampdoria,Genoa,1,0,10.5586,10.0195,9.9563,9.2914,10.1609,10.7476
2014-10-05 14:00:00,5073,Sampdoria,Atalanta,1,0,10.3623,9.4697,9.6917,9.4514,9.7829,10.9880
2014-10-19 14:00:00,5085,Sampdoria,Cagliari,2,2,10.4592,10.1531,10.0898,11.3303,9.5787,9.4757
2014-10-25 19:45:00,5091,Sampdoria,Roma,0,0,10.5337,11.1828,10.1624,10.2912,9.6552,10.0744
2014-10-29 19:45:00,5101,Sampdoria,Inter,0,1,10.1929,10.0112,9.6244,9.9875,9.7615,8.7852
2014-11-02 14:00:00,5033,Sampdoria,Fiorentina,3,1,10.7421,10.3405,9.7779,10.7982,10.2064,9.1327
2014-11-08 19:45:00,5041,Sampdoria,AC Milan,2,2,10.3823,10.1627,9.6980,9.3135,9.5667,10.5117
2014-11-23 14:00:00,5056,Sampdoria,Cesena,1,1,10.1395,9.1539,9.5546,10.0804,9.2245,10.9776
2014-12-01 20:00:00,4999,Sampdoria,Napoli,1,1,10.2024,10.8280,9.6065,12.2876,9.2983,7.6185
2014-12-08 20:00:00,5009,Sampdoria,Verona,3,1,10.6129,8.9340,9.8678,8.2963,9.3580,11.8214
2014-12-14 11:30:00,5012,Sampdoria,Juventus,1,1,11.0610,11.4573,9.9681,9.3540,10.1539,7.5607
2014-12-21 14:00:00,5025,Sampdoria,Udinese,2,2,10.4345,9.6815,9.2657,8.1059,9.6033,12.2572
2015-01-05 19:45:00,4957,Sampdoria,Lazio,0,3,9.8284,11.1163,8.9149,9.5982,9.4920,9.1344
2015-01-11 14:00:00,4975,Sampdoria,Empoli,1,0,9.9925,9.8205,8.9948,11.5116,9.4902,9.1295
2015-01-18 14:00:00,4984,Sampdoria,Parma,2,0,10.3536,8.5758,9.2720,10.2359,9.4352,12.4155
2015-01-25 14:00:00,4989,Sampdoria,Palermo,1,1,10.2810,10.6358,9.2442,10.2184,9.3178,11.0531
2015-02-01 14:00:00,4925,Sampdoria,Torino,1,5,9.4637,11.3291,8.6683,12.5040,9.2591,10.1542
2015-02-08 14:00:00,4932,Sampdoria,Sassuolo,1,1,9.5008,10.0750,8.5626,9.2585,9.4390,11.3916
2015-02-15 17:00:00,4945,Sampdoria,Chievo,1,2,9.4100,9.7284,8.7453,9.6114,9.3247,11.8453
2015-02-24 17:30:00,4955,Sampdoria,Genoa,1,1,9.6190,10.5369,8.7259,7.3278,9.7620,11.7463
2015-03-01 14:00:00,4883,Sampdoria,Atalanta,2,1,9.9520,9.1179,8.8822,9.5258,10.0216,12.4600
2015-03-07 17:00:00,4889,Sampdoria,Cagliari,2,0,10.1664,9.0953,8.7883,14.2024,10.0444,8.2379
2015-03-16 20:00:00,4908,Sampdoria,Roma,2,0,10.7090,9.2941,8.6619,8.4700,10.7560,6.3680
2015-03-22 19:45:00,4914,Sampdoria,Inter,1,0,10.7479,10.3256,8.7039,10.1465,10.5417,9.0050
2015-04-04 17:30:00,4837,Sampdoria,Fiorentina,0,2,10.2691,10.8114,8.2870,9.7870,10.5009,8.3361
2015-04-12 19:45:00,4849,Sampdoria,AC Milan,1,1,10.4145,10.2055,8.2642,8.5427,10.8146,10.6180
2015-04-18 17:00:00,4851,Sampdoria,Cesena,0,0,10.0505,9.8226,8.1591,11.0289,10.1917,15.1170
2015-04-26 19:45:00,4870,Sampdoria,Napoli,2,4,9.9086,11.1247,7.9984,12.5920,10.5686,5.4070
2015-04-29 19:45:00,4879,Sampdoria,Verona,1,1,9.7491,9.9301,7.9635,10.4009,10.2845,13.4584
2015-05-02 17:00:00,4779,Sampdoria,Juventus,0,1,9.5271,10.5829,7.9314,6.8812,10.1225,3.2852
2015-05-10 14:00:00,4792,Sampdoria,Udinese,4,1,10.5237,9.0171,8.7806,7.3712,10.5166,13.6630
2015-05-16 19:45:00,4800,Sampdoria,Lazio,0,1,10.1788,10.9888,8.7088,9.3184,10.1485,4.1595
2015-05-24 11:30:00,4811,Sampdoria,Empoli,1,1,10.2389,9.8590,8.4793,12.6759,10.4981,7.7924
2015-05-31 19:45:00,4822,Sampdoria,Parma,2,2,9.7618,9.3075,8.0951,12.4782,9.9280,16.3864
2015-08-23 22:45:00,555,Sampdoria,Carpi,5,2,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2015-08-30 22:45:00,566,Sampdoria,Napoli,2,2,10.0191,9.5574,9.9308,13.1044,10.1075,2.5104
2015-09-14 22:45:00,580,Sampdoria,Bologna,2,0,10.3251,9.4372,9.9938,9.7783,10.1565,9.8461
2015-09-20 17:00:00,586,Sampdoria,Torino,0,2,10.0158,10.8973,9.7263,10.1346,10.3054,10.6599
2015-09-23 22:45:00,594,Sampdoria,Roma,2,1,10.2721,10.2849,9.4182,8.5482,10.8762,6.2714
2015-09-28 23:00:00,610,Sampdoria,Atalanta,1,2,10.1603,10.4366,9.2446,10.5607,11.0761,14.3126
2015-10-04 17:00:00,615,Sampdoria,Inter,1,1,10.0190,10.2362,9.2216,10.7382,10.8164,6.4845
2015-10-18 17:00:00,624,Sampdoria,Frosinone,0,2,9.5224,10.0293,9.2674,8.8626,10.2774,11.9460
2015-10-25 15:30:00,634,Sampdoria,Verona,4,1,10.1964,9.0445,9.7463,9.3007,10.3965,14.5373
2015-10-29 23:45:00,650,Sampdoria,Empoli,1,1,10.0539,10.2690,9.5738,14.1582,10.2840,8.3798
2015-11-02 22:00:00,659,Sampdoria,Chievo,1,1,10.1494,9.8404,9.5184,8.1150,10.5304,13.8156
2015-11-08 23:45:00,670,Sampdoria,Fiorentina,0,2,9.8875,11.8636,9.1617,10.3614,10.8633,5.3665
2015-11-22 18:00:00,675,Sampdoria,Udinese,0,1,9.8267,10.2050,9.2814,9.9600,10.8720,15.1998
