Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-09 20:00:00,6191,Lens,Nantes,0,1,10,9.8750,10,9.9105,10,10.0895
2014-08-16 19:00:00,6199,Lens,Guingamp,0,1,9.875,9.5000,9.9105,9.7617,10.0895,9.7383
2014-08-24 13:00:00,6212,Lens,Lyon,1,0,9.5,10.0000,9.7617,10.2429,9.7383,10.0071
2014-08-30 19:00:00,6220,Lens,Reims,4,2,10.0,10.3750,10.2429,10.4658,10.0071,10.0342
2014-09-13 19:00:00,6151,Lens,SC Bastia,1,1,10.375,10.4062,10.4658,10.4004,10.0342,10.1621
2014-09-21 16:00:00,6162,Lens,Saint-Etienne,0,1,10.4062,9.7812,10.4004,9.9861,10.1621,9.5764
2014-09-24 18:00:00,6167,Lens,Evian Thonon Gaillard,1,2,9.7812,9.1523,9.9861,9.5802,9.5764,8.9745
2014-09-28 16:00:00,6182,Lens,Caen,0,0,9.1523,9.1328,9.5802,9.5965,8.9745,8.9191
2014-10-04 19:00:00,6118,Lens,Rennes,0,2,9.1328,8.6885,9.5965,9.1339,8.9191,8.9931
2014-10-17 19:30:00,6124,Lens,Paris Saint Germain,1,3,8.6885,8.5459,9.1339,9.1325,8.9931,9.2093
2014-10-24 19:30:00,6134,Lens,Toulouse,2,0,8.5459,9.8025,9.1325,9.9776,9.2093,10.3774
2014-11-02 20:00:00,6084,Lens,Marseille,1,2,9.8025,10.5725,9.9776,10.8833,10.3774,11.2617
2014-11-08 16:00:00,6086,Lens,Bordeaux,1,2,10.5725,10.0492,10.8833,10.4907,11.2617,10.8576
2014-11-22 19:00:00,6098,Lens,Lorient,0,1,10.0492,9.6079,10.4907,9.8925,10.8576,10.8233
2014-11-29 19:00:00,6109,Lens,Metz,2,0,9.6079,9.7854,9.8925,9.7472,10.8233,10.8237
2014-12-02 20:00:00,6038,Lens,Monaco,0,2,9.7854,9.5257,9.7472,10.0420,10.8237,10.5095
2014-12-07 16:00:00,6053,Lens,Lille,1,1,9.5257,9.1649,10.042,9.7977,10.5095,10.0322
2014-12-13 19:00:00,6058,Lens,Montpellier,3,3,9.1649,9.2420,9.7977,9.7041,10.0322,10.2799
2014-12-19 19:30:00,6066,Lens,Nice,2,0,9.242,9.8573,9.7041,10.0221,10.2799,10.6924
2015-01-10 19:00:00,6002,Lens,Guingamp,0,2,9.8573,9.9156,10.0221,10.1349,10.6924,11.1963
2015-01-17 16:00:00,6010,Lens,Lyon,0,2,9.9156,9.7993,10.1349,10.4686,11.1963,11.1300
2015-01-25 16:00:00,6027,Lens,Reims,0,0,9.7993,10.0351,10.4686,11.1044,11.13,10.9657
2015-01-31 19:00:00,6031,Lens,SC Bastia,1,1,10.0351,10.0401,11.1044,11.4178,10.9657,10.6624
2015-02-06 19:30:00,5963,Lens,Saint-Etienne,3,3,10.0401,10.1581,11.4178,11.5698,10.6624,10.7464
2015-02-14 19:00:00,5977,Lens,Evian Thonon Gaillard,0,2,10.1581,9.3398,11.5698,11.3923,10.7464,9.7873
2015-02-21 19:00:00,5986,Lens,Caen,1,4,9.3398,8.9337,11.3923,11.6193,9.7873,9.4981
2015-02-28 19:00:00,5995,Lens,Rennes,0,1,8.9337,8.4511,11.6193,11.2932,9.4981,9.1090
2015-03-07 16:00:00,5931,Lens,Paris Saint Germain,1,4,8.4511,8.3467,11.2932,10.9076,9.109,10.0357
2015-03-14 19:00:00,5946,Lens,Toulouse,1,0,8.3467,8.6708,10.9076,10.9956,10.0357,10.3459
2015-03-22 20:00:00,5959,Lens,Marseille,0,4,8.6708,8.1615,10.9956,11.4769,10.3459,9.8460
2015-04-05 13:00:00,5892,Lens,Bordeaux,1,2,8.1615,8.5649,11.4769,12.0286,9.846,10.3510
2015-04-12 16:00:00,5902,Lens,Lorient,0,0,8.5649,8.9422,12.0286,12.4619,10.351,10.6722
2015-04-18 19:00:00,5908,Lens,Metz,1,3,8.9422,8.6585,12.4619,11.9939,10.6722,11.0727
2015-04-26 16:00:00,5923,Lens,Monaco,0,3,8.6585,8.3622,11.9939,11.9829,11.0727,11.2412
2015-05-03 13:00:00,5852,Lens,Lille,1,3,8.3622,8.5767,11.9829,12.1532,11.2412,11.9999
2015-05-10 13:00:00,5862,Lens,Montpellier,0,1,8.5767,8.6753,12.1532,12.1366,11.9999,12.4637
2015-05-16 20:00:00,5865,Lens,Nice,1,2,8.6753,8.8189,12.1366,12.1022,12.4637,13.0354
2015-05-23 20:00:00,5877,Lens,Nantes,1,0,8.8189,9.2486,12.1022,12.2702,13.0354,13.4767
